Id,Type,Name,PreReqsIds,Cost,DurationTicks,Completed,Icon,ShortcutKey
300,0,Ship Speed +10%,1,3000,240,False,tech_radioactive.png,S
301,0,Ship Speed +20%,2|300,3000,240,False,tech_radioactive.png,S
302,0,Ship Speed +30%,2|301,3000,240,False,tech_radioactive.png,S
303,0,Miner Capacity +10%,1,1500,240,False,tech_minercapacity.png,P
304,0,Miner Capacity +20%,2|303,1500,240,False,tech_minercapacity.png,P
305,0,Miner Capacity +30%,2|304,1500,240,False,tech_minercapacity.png,P
306,0,Miner Efficiency +10%,1,1500,240,False,tech_minerpick.png,F
307,0,Miner Efficiency +20%,2|306,1500,240,False,tech_minerpick.png,F
308,0,Miner Efficiency +30%,2|307,1500,240,False,tech_minerpick.png,F
309,0,Unlock Engine Boost,2,10000,120,False,tech_radioactive.png,E
310,0,Unlock Weapon Boost,2,10000,120,False,tech_lightning.png,W

#####
# Expansion Upgrades (+Scan, +Shield, +Ability Effect)

400,3,Scan Range +30%,30,1500,240,False,tech_signal.png,A
401,3,Scan Range +60%,31|400,1500,240,False,tech_signal.png,A
402,3,Scan Range +90%,31|401,1500,240,False,tech_signal.png,A
403,3,Max Shield +10%,30,3000,240,False,tech_shield.png,H
404,3,Max Shield +20%,31|403,3000,240,False,tech_shield.png,H
405,3,Max Shield +30%,31|404,3000,240,False,tech_shield.png,H
406,3,Shield Recharge +25%,30,3000,240,False,tech_shield.png,S
407,3,Shield Recharge +50%,31|406,3000,240,False,tech_shield.png,S
408,3,Shield Recharge +75%,31|407,3000,240,False,tech_shield.png,S
409,3,Unlock Shield Boost,31,10000,120,False,tech_hull.png,I
410,3,Ability Effect +10%,30,3000,120,False,tech_lightning.png,A
411,3,Ability Effect +20%,31|410,3000,120,False,tech_lightning.png,A
412,3,Ability Effect +30%,31|411,3000,120,False,tech_lightning.png,A

#####
# Supremacy Upgrades (+Armour, +Lasers, +Repair, +Ability Duration)

500,1,Ship Hull +10%,40,3000,240,False,tech_hull.png,H
501,1,Ship Hull +20%,41|500,3000,240,False,tech_hull.png,H
502,1,Ship Hull +30%,41|501,3000,240,False,tech_hull.png,H
503,1,Laser Damage +10%,40,3000,240,False,tech_lightning.png,D
504,1,Laser Damage +20%,41|503,3000,240,False,tech_lightning.png,D
505,1,Laser Damage +30%,41|504,3000,240,False,tech_lightning.png,D
506,1,Laser Fire Rate +10%,40,3000,240,False,tech_doubleright.png,F
507,1,Laser Fire Rate +20%,41|506,3000,240,False,tech_doubleright.png,F
508,1,Laser Fire Rate +30%,41|507,3000,240,False,tech_doubleright.png,F
509,1,Repair Healing +10%,40,1500,240,False,tech_repair.png,H
510,1,Repair Healing +20%,41|509,1500,240,False,tech_repair.png,H
511,1,Repair Healing +30%,41|510,1500,240,False,tech_repair.png,H
512,1,Unlock Hull Repair,41,10000,120,False,tech_repair.png,H
513,1,Ability Duration +10%,40,3000,120,False,tech_timer.png,A
514,1,Ability Duration +20%,41|513,3000,120,False,tech_timer.png,A
515,1,Ability Duration +30%,41|514,3000,120,False,tech_timer.png,A

#####
# Tactical Upgrades (+Stealth, +Missiles, +FireRate, +Ability CD)

600,2,Ship Signature -10%,50,3000,240,False,tech_signal.png,G
601,2,Ship Signature -20%,51|600,3000,240,False,tech_signal.png,G
602,2,Ship Signature -30%,51|601,3000,240,False,tech_signal.png,G
603,2,Missile Tracking +10%,50,1500,240,False,tech_rocket.png,T
604,2,Missile Tracking +20%,51|603,1500,240,False,tech_rocket.png,T
605,2,Missile Tracking +30%,51|604,1500,240,False,tech_rocket.png,T
606,2,Missile Damage +10%,50,3000,240,False,tech_radioactive.png,D
607,2,Missile Damage +20%,51|606,3000,240,False,tech_radioactive.png,D
608,2,Missile Damage +30%,51|607,3000,240,False,tech_radioactive.png,D
609,2,Missile Fire Rate +10%,50,3000,240,False,tech_doubleright.png,F
610,2,Missile Fire Rate +20%,51|609,3000,240,False,tech_doubleright.png,F
611,2,Missile Fire Rate +30%,51|610,3000,240,False,tech_doubleright.png,F
612,2,Unlock Rapid Fire,51,10000,120,False,tech_doubleright.png,R
613,2,Ability Cooldown -10%,50,3000,120,False,tech_stopwatch.png,A
614,2,Ability Cooldown -20%,51|613,3000,120,False,tech_stopwatch.png,A
615,2,Ability Cooldown -30%,51|614,3000,120,False,tech_stopwatch.png,A
