# Ship Data
#
# WeaponData: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY>(next...)
# Missile Weapon: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY|Speed|Tracking>(next...)

Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
26,Fighter,F,44,Dn_hifigadvbmp.png,16,16,35,1,6,200,1,0|2|5|10|150|10|0|0>3|4|5|25|400|8|0|0|8|5,0
27,FighterBomber,X,43,Dn_hibmbfigbmp.png,16,16,90,1,4,200,2,1|2|5|10|100|10|0|0,0

28,StealthFighter,T,52,Dn_histlbmp.png,16,16,30,1,5,150,0.4,0|2|5|10|125|7|0|0>3|4|5|30|500|10|0|0|9|4,0
29,StealthFighter,T,53,Dn_histladvbmp.png,16,16,35,1,6,200,0.25,0|2|5|10|150|8|0|0>3|4|5|30|550|15|0|0|9|4,0

30,StealthBomber,O,54,Dn_hibmbstlbmp.png,16,16,60,1,4,200,0.5,1|2|10|20|100|10|0|0,0
31,StealthBomber,O,55,Dn_hibmbstlbmp.png,16,16,80,1,4,250,0.3,1|2|10|20|200|15|0|0,0

40,TroopTransport,P,33,Dn_hitrnbmp.png,16,16,250,3,3,200,2,1|2|5|10|100|10|0|0,0

50,Constructor,C,1,Dn_hicsmtwrbmp.png,16,16,75,0,3,100,1,,Tower
51,Tower,C,1,Dn_hipdtsbmp.png,16,16,200,0,0,300,1,0|2|5|20|300|5|0|0,0
52,Tower,C,9,Dn_hipdtabmp.png,16,16,300,0,0,300,1,0|2|3|15|350|7|0|0,0

53,Constructor,C,1,Dn_hicsmtwrbmp.png,16,16,75,0,3,100,1,,MissileTower
54,Constructor,C,1,Dn_hicsmtwrbmp.png,16,16,75,0,3,100,1,,RepairTower

55,RepairTower,C,1,Dn_hipdehbmp.png,16,16,200,0,0,300,1,2|1|5|20|300|-5|-6|0>2|1|5|20|300|-5|6|0,0
56,RepairTower,C,10,Dn_hipdnbbmp.png,16,16,300,0,0,300,1,2|1|3|15|350|-10|-6|0>2|1|3|15|350|-10|6|0,0

57,MissileTower,C,1,Dn_hipdcmbmp.png,16,16,200,0,0,300,1,3|4|5|20|350|5|0|0|8|4,0
58,MissileTower,C,11,Dn_hipdchbmp.png,16,16,300,0,0,300,1,3|4|3|15|350|7|0|0|8|5,0

59,Constructor,C,1,Dn_hicsmmnlbmp.png,16,16,75,0,3,100,1,,Minefield

60,Constructor,C,1,Dn_hicsmtwrbmp.png,16,16,75,0,3,100,1,,ShieldTower

61,ShieldTower,C,1,Dn_hipdehbmp_s.png,16,16,200,0,0,300,1,5|1|5|15|300|4|-6|0>5|1|5|15|300|4|6|0>5|1|5|15|300|4|0|6>5|1|5|15|300|4|0|-6,0
62,ShieldTower,C,12,Dn_hipdnbbmp_s.png,16,16,300,0,0,300,1,5|1|5|15|350|8|-6|0>5|1|5|15|350|8|6|0>5|1|5|15|350|8|0|6>5|1|5|15|350|8|0|-6,0


# Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
# WeaponData: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY>(next...)
99,Support,C,100,capsupport.png,32,32,500,0,2,500,2,0|2|5|16|150|10|0|-12>2|1|5|10|200|-5|-6|0>2|1|5|10|200|-5|6|0>4|100|70|80|200|1|0|0,0
100,Corvette,C,100,capcorv.png,32,32,250,0,2,300,2,0|2|5|16|150|10|-6|0>0|2|5|16|150|10|6|0>3|4|5|25|400|8|0|0|8|5,0
101,Destroyer,C,101,capdest.png,32,32,300,0,3,300,2,0|2|5|16|200|10|-6|0>0|2|5|16|200|10|6|0>3|4|5|25|400|8|-8|0|8|5>3|4|5|25|400|8|8|0|8|5,0
102,Frigate,C,101,capfrig.png,32,32,300,0,2,300,2,0|2|5|20|200|10|4|0>1|2|10|20|200|40|0|-4,0
103,Devastator,C,102,capdev.png,32,32,400,0,3,300,2,0|2|3|16|200|15|-6|0>0|2|5|16|200|15|6|0>3|4|5|25|450|10|-8|0|8|5>3|4|5|25|450|10|8|0|8|5,0
104,Cruiser,C,102,capcruise.png,32,32,400,0,3,300,2,0|2|3|20|200|15|4|0>1|2|10|20|200|50|0|-4,0
105,Battleship,C,103,capbattle.png,32,32,500,0,3,300,2,0|2|5|16|200|20|-6|0>0|2|5|16|200|20|6|0>3|4|5|25|450|15|-8|0|8|5>3|4|5|25|450|15|8|0|8|5,0
106,Battlecruiser,C,103,capbcruise.png,32,32,500,0,3,300,2,0|2|5|16|200|20|4|0>1|2|10|20|200|60|0|-4>3|4|5|25|450|15|8|0|8|5,0

107,AdvancedSupport,C,101,capsupport-adv.png,32,32,600,0,2,500,2,0|2|5|16|150|15|0|-12>2|1|5|10|200|-8|-6|0>2|1|5|10|200|-8|6|0>4|100|70|80|200|1|0|0,0
108,HeavySupport,C,102,capsupport-hvy.png,32,32,700,0,2,500,2,0|2|5|16|150|20|0|-12>2|1|5|10|200|-10|-6|0>2|1|5|10|200|-10|6|0>4|100|70|80|200|1|0|0,0

# T2 Drone Ships (no pilots, 50% tougher, same speed & weapons)
200,DroneScout,D,3,Dn_hisctadvbmp.png,16,16,45,0,5,400,1,2|1|5|20|100|-6|0|0>4|100|70|130|200|2|0|0,0
201,DroneFighter,D,42,Dn_hifigenhbmp.png,16,16,45,0,5,150,1,0|2|5|10|125|7|0|0>3|4|5|25|400|7|0|0|8|4,0
202,DroneInterceptor,D,32,Dn_hiintbmp.png,16,16,90,0,5,100,1,0|2|4|16|75|6|-6|0>0|2|4|16|75|6|6|0,0
203,DroneBomber,D,4,Dn_hibmbbmp.png,16,16,225,0,2,200,3,0|2|5|15|150|5|-6|0>0|2|5|15|150|5|6|0>1|2|15|30|175|20|0|-2,0
204,DroneGunship,D,5,Dn_hignsbmp.png,16,16,225,0,4,100,2,0|2|5|20|150|5|-6|0>0|2|5|20|150|5|6|0>0|2|5|20|150|5|0|-2>3|4|5|30|350|5|0|0|8|4,0
205,DroneStealthFighter,D,52,Dn_histlbmp.png,16,16,45,0,5,150,0.4,0|2|5|10|125|7|0|0>3|4|5|30|500|5|0|0|9|4,0
206,DroneStealthBomber,D,54,Dn_hibmbstlbmp.png,16,16,90,0,4,200,0.5,1|2|10|20|100|10|0|0,0
