# Ship Data
#
# WeaponData: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY>(next...)
# Missile Weapon: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY|Speed|Tracking>(next...)

Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
30,StealthBomber,O,54,zoniqs_sbomber.png,16,16,60,1,4,200,0.5,1|2|10|20|100|10|0|0,0
31,StealthBomber,O,55,zoniqs_sbomber.png,16,16,80,1,4,250,0.3,1|2|10|20|200|15|0|0,0

40,TroopTransport,P,33,zoniqs_transport.png,16,16,250,3,3,200,2,1|2|5|10|100|10|0|0,0

50,Tower,C,1,Dn_hipdtsbmp.png,16,16,200,0,0,300,1,0|2|5|20|300|5|0|0,0
51,RepairTower,C,1,Dn_hipdehbmp.png,16,16,200,0,0,300,1,2|1|5|20|300|-5|-6|0>2|1|5|20|300|-5|6|0,0
52,MissileTower,C,1,Dn_hipdcmbmp.png,16,16,200,0,0,300,1,3|4|5|20|350|5|0|0|8|4,0
53,ShieldTower,C,1,Dn_hipdehbmp_s.png,16,16,200,0,0,300,1,5|1|5|15|300|4|-6|0>5|1|5|15|300|4|6|0>5|1|5|15|300|4|0|6>5|1|5|15|300|4|0|-6,0

# TODO: Add Tech Cap Ships, remove most others. Upgrade them to use drones

# Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
# WeaponData: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY>(next...)
99,Support,C,100,capsupport.png,32,32,500,0,2,500,2,0|2|5|16|150|10|0|-12>2|1|5|10|200|-5|-6|0>2|1|5|10|200|-5|6|0>4|100|20|80|200|1|0|0,0
100,Corvette,C,100,capcorv.png,32,32,250,0,2,300,2,0|2|5|16|150|10|-6|0>0|2|5|16|150|10|6|0>3|4|5|25|400|8|0|0|8|5,0
101,Destroyer,C,101,capdest.png,32,32,300,0,3,300,2,0|2|5|16|200|10|-6|0>0|2|5|16|200|10|6|0>3|4|5|25|400|8|-8|0|8|5>3|4|5|25|400|8|8|0|8|5,0
102,Frigate,C,101,capfrig.png,32,32,300,0,2,300,2,0|2|5|20|200|10|4|0>1|2|10|20|200|40|0|-4,0
103,Devastator,C,102,capdev.png,32,32,400,0,3,300,2,0|2|3|16|200|15|-6|0>0|2|5|16|200|15|6|0>3|4|5|25|450|10|-8|0|8|5>3|4|5|25|450|10|8|0|8|5,0
104,Cruiser,C,102,capcruise.png,32,32,400,0,3,300,2,0|2|3|20|200|15|4|0>1|2|10|20|200|50|0|-4,0
105,Battleship,C,103,capbattle.png,32,32,500,0,3,300,2,0|2|5|16|200|20|-6|0>0|2|5|16|200|20|6|0>3|4|5|25|450|15|-8|0|8|5>3|4|5|25|450|15|8|0|8|5,0
106,Battlecruiser,C,103,capbcruise.png,32,32,500,0,3,300,2,0|2|5|16|200|20|4|0>1|2|10|20|200|60|0|-4>3|4|5|25|450|15|8|0|8|5,0

107,AdvancedSupport,C,101,capsupport-adv.png,32,32,600,0,2,500,2,0|2|5|16|150|15|0|-12>2|1|5|10|200|-8|-6|0>2|1|5|10|200|-8|6|0>4|100|20|80|200|1|0|0,0
108,HeavySupport,C,102,capsupport-hvy.png,32,32,700,0,2,500,2,0|2|5|16|150|20|0|-12>2|1|5|10|200|-10|-6|0>2|1|5|10|200|-10|6|0>4|100|20|80|200|1|0|0,0

# Drone Ships (no pilots, 50% tougher, same speed & weapons)
200,DroneScout,D,,zoniqs_scout.png,16,16,45,0,5,400,1,2|1|5|20|100|-6|0|0>4|100|20|130|200|2|0|0,0
201,DroneFighter,D,,zoniqs_fighter.png,16,16,45,0,5,150,1,0|2|5|10|125|7|0|0>3|4|5|25|400|7|0|0|8|4,0
202,DroneInterceptor,D,32,zoniqs_int.png,16,16,90,0,5,100,1,0|2|4|16|75|6|-6|0>0|2|4|16|75|6|6|0,0
203,DroneBomber,D,4,zoniqs_bomber.png,16,16,225,0,2,200,3,0|2|5|15|150|5|-6|0>0|2|5|15|150|5|6|0>1|2|15|30|175|20|0|-2,0
204,DroneGunship,D,5,zoniqs_gunship.png,16,16,225,0,4,100,2,0|2|5|20|150|5|-6|0>0|2|5|20|150|5|6|0>0|2|5|20|150|5|0|-2>3|4|5|30|350|5|0|0|8|4,0
205,DroneStealthFighter,D,52,zoniqs_sfighter.png,16,16,45,0,5,150,0.4,0|2|5|10|125|7|0|0>3|4|5|30|500|5|0|0|9|4,0
206,DroneStealthBomber,D,54,zoniqs_sbomber.png,16,16,90,0,4,200,0.5,1|2|10|20|100|10|0|0,0
